filename                         MJD Frequency   bandw backend   length           name       DM       RM
00096.FTS.fixedfreq.debase 50361.079  606.0000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00097.FTS.fixedfreq.debase 50362.140  606.0000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00098.FTS.fixedfreq.debase 50363.279  606.0000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00099.FTS.fixedfreq.debase 50364.028  606.0000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00100.FTS.fixedfreq.debase 50365.103  606.0000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00101.FTS.fixedfreq.debase 50366.192  606.0000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00102.FTS.fixedfreq.debase 50367.225  606.0000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00103.FTS.fixedfreq.debase 50369.132  606.0000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00104.FTS.fixedfreq.debase 50374.275  606.0000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00105.FTS.fixedfreq.debase 50377.406  606.0000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00106.FTS.fixedfreq.debase 50381.192 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00107.FTS.fixedfreq.debase 50386.219 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00108.FTS.fixedfreq.debase 50387.392 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00109.FTS.fixedfreq.debase 50389.054 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00110.FTS.fixedfreq.debase 50391.078 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00111.FTS.fixedfreq.debase 50394.032 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00112.FTS.fixedfreq.debase 50396.090 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00113.FTS.fixedfreq.debase 50398.117 1412.0000   -32.0 AFB        960.0      0631+1036  125.350    0.000
00114.FTS.fixedfreq.debase 50400.071 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00115.FTS.fixedfreq.debase 50402.169 1412.0000   -32.0 AFB        960.0      0631+1036  125.350    0.000
00116.FTS.fixedfreq.debase 50404.178 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00117.FTS.fixedfreq.debase 50406.087 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00118.FTS.fixedfreq.debase 50408.098 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00119.FTS.fixedfreq.debase 50410.988  606.0000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00120.FTS.fixedfreq.debase 50412.056  606.0000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00121.FTS.fixedfreq.debase 50415.970 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00122.FTS.fixedfreq.debase 50418.091 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00123.FTS.fixedfreq.debase 50420.126 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00124.FTS.fixedfreq.debase 50421.985 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00125.FTS.fixedfreq.debase 50423.193  606.0000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00126.FTS.fixedfreq.debase 50425.920  606.0000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00127.FTS.fixedfreq.debase 50432.007  606.0000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00128.FTS.fixedfreq.debase 50451.952 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00129.FTS.fixedfreq.debase 50456.995 1412.0000   -32.0 AFB        960.0      0631+1036  125.350    0.000
00130.FTS.fixedfreq.debase 50459.012 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00131.FTS.fixedfreq.debase 50463.079 1412.0000   -32.0 AFB       1077.4      0631+1036  125.350    0.000
00132.FTS.fixedfreq.debase 50466.816 1412.0000   -32.0 AFB       2036.8      0631+1036  125.350    0.000
00133.FTS.fixedfreq.debase 50467.687 1412.0000   -32.0 AFB        838.0      0631+1036  125.350    0.000
00134.FTS.fixedfreq.debase 50471.118  606.0000    -8.0 AFB       1438.8      0631+1036  125.350    0.000
00135.FTS.fixedfreq.debase 50476.888  606.0000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00136.FTS.fixedfreq.debase 50480.085  606.0000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00137.FTS.fixedfreq.debase 50483.933  606.0000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00138.FTS.fixedfreq.debase 50486.012  606.0000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00139.FTS.fixedfreq.debase 50505.867 1412.0000   -32.0 AFB       1077.4      0631+1036  125.350    0.000
00140.FTS.fixedfreq.debase 50508.069 1412.0000   -32.0 AFB       1077.4      0631+1036  125.350    0.000
00141.FTS.fixedfreq.debase 50514.680 1412.0000   -32.0 AFB        957.7      0631+1036  125.350    0.000
00142.FTS.fixedfreq.debase 50516.868 1412.0000   -32.0 AFB       1077.4      0631+1036  125.350    0.000
00143.FTS.fixedfreq.debase 50536.623 1412.0000   -32.0 AFB        838.0      0631+1036  125.350    0.000
00144.FTS.fixedfreq.debase 50581.762 1412.0000   -32.0 AFB       1077.4      0631+1036  125.350    0.000
00145.FTS.fixedfreq.debase 50594.596 1418.0000   -32.0 AFB      36974.3      0631+1036  125.350    0.000
00146.FTS.fixedfreq.debase 50606.475 1418.0000   -32.0 AFB        718.3      0631+1036  125.350    0.000
00147.FTS.fixedfreq.debase 50610.760 1418.0000   -32.0 AFB       1077.4      0631+1036  125.350    0.000
00148.FTS.fixedfreq.debase 50617.586  608.5000    -4.0 AFB       1618.7      0631+1036  125.350    0.000
00149.FTS.fixedfreq.debase 50628.650  610.5000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00150.FTS.fixedfreq.debase 50631.385  610.5000    -8.0 AFB       1618.7      0631+1036  125.350    0.000
00151.FTS.fixedfreq.debase 50639.698 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00152.FTS.fixedfreq.debase 50642.265 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00153.FTS.fixedfreq.debase 50674.219 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00154.FTS.fixedfreq.debase 50675.344 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00155.FTS.fixedfreq.debase 50682.480 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00156.FTS.fixedfreq.debase 50684.416 1412.0000   -32.0 AFB        960.0      0631+1036  125.350    0.000
00157.FTS.fixedfreq.debase 50686.410 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00158.FTS.fixedfreq.debase 50700.272 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00159.FTS.fixedfreq.debase 50711.443 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00160.FTS.fixedfreq.debase 50713.182 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00161.FTS.fixedfreq.debase 50717.250 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
