min_points,window_days,step_days,n_windows_rank1,n_fit_points,n_inliers,inlier_fraction,rmse_inlier,wrmse_inlier,r2_inlier,slope_days_per_day,intercept_days
50,3000.0,2700.0,4,4,3,0.75,0.7597420175530869,0.8757857067961051,0.9999421232244274,-0.030089228381103714,913.0174948712161
100,3000.0,2700.0,4,4,3,0.75,0.7597420175530869,0.8757857067961051,0.9999421232244274,-0.030089228381103714,913.0174948712161
150,3000.0,2700.0,4,4,3,0.75,0.7597420175530869,0.8757857067961051,0.9999421232244274,-0.030089228381103714,913.0174948712161
200,3000.0,2700.0,4,4,3,0.75,0.7597420175530869,0.8757857067961051,0.9999421232244274,-0.030089228381103714,913.0174948712161
250,3000.0,2700.0,4,4,3,0.75,0.7597420175530869,0.8757857067961051,0.9999421232244274,-0.030089228381103714,913.0174948712161
300,3000.0,2700.0,4,4,3,0.75,0.7597420175530869,0.8757857067961051,0.9999421232244274,-0.030089228381103714,913.0174948712161
350,3000.0,2700.0,4,4,3,0.75,0.7597420175530869,0.8757857067961051,0.9999421232244274,-0.030089228381103714,913.0174948712161
50,2800.0,3200.0,4,4,3,0.75,1.0386126415048453,0.9781846360501778,0.9914947866583638,0.004877902334198386,845.3834789909101
100,2800.0,3200.0,4,4,3,0.75,1.0386126415048453,0.9781846360501778,0.9914947866583638,0.004877902334198386,845.3834789909101
150,2800.0,3200.0,4,4,3,0.75,1.0386126415048453,0.9781846360501778,0.9914947866583638,0.004877902334198386,845.3834789909101
200,2800.0,3200.0,4,4,3,0.75,1.0386126415048453,0.9781846360501778,0.9914947866583638,0.004877902334198386,845.3834789909101
50,3000.0,2800.0,4,4,3,0.75,1.5014163658305764,1.5741333086706037,0.988859652364663,-0.0065186820909884985,832.1492553277263
100,3000.0,2800.0,4,4,3,0.75,1.5014163658305764,1.5741333086706037,0.988859652364663,-0.0065186820909884985,832.1492553277263
150,3000.0,2800.0,4,4,3,0.75,1.5014163658305764,1.5741333086706037,0.988859652364663,-0.0065186820909884985,832.1492553277263
200,3000.0,2800.0,4,4,3,0.75,1.5014163658305764,1.5741333086706037,0.988859652364663,-0.0065186820909884985,832.1492553277263
250,3000.0,2800.0,4,4,3,0.75,1.5014163658305764,1.5741333086706037,0.988859652364663,-0.0065186820909884985,832.1492553277263
300,3000.0,2800.0,4,4,3,0.75,1.5014163658305764,1.5741333086706037,0.988859652364663,-0.0065186820909884985,832.1492553277263
350,3000.0,2800.0,4,4,3,0.75,1.5014163658305764,1.5741333086706037,0.988859652364663,-0.0065186820909884985,832.1492553277263
400,3000.0,2800.0,4,4,3,0.75,1.5014163658305764,1.5741333086706037,0.988859652364663,-0.0065186820909884985,832.1492553277263
50,3400.0,3400.0,4,4,3,0.75,3.165627449425166,3.068517342543008,0.9997322189491405,-0.05330035289177812,759.6619864244324
50,2900.0,3100.0,4,4,3,0.75,3.423935220832109,3.282853387936078,0.8982208201325227,0.004507846624774217,843.846250595327
100,2900.0,3100.0,4,4,3,0.75,3.423935220832109,3.282853387936078,0.8982208201325227,0.004507846624774217,843.846250595327
150,2900.0,3100.0,4,4,3,0.75,3.423935220832109,3.282853387936078,0.8982208201325227,0.004507846624774217,843.846250595327
200,2900.0,3100.0,4,4,3,0.75,3.423935220832109,3.282853387936078,0.8982208201325227,0.004507846624774217,843.846250595327
250,2900.0,3100.0,4,4,3,0.75,3.423935220832109,3.282853387936078,0.8982208201325227,0.004507846624774217,843.846250595327
50,3300.0,3400.0,4,4,3,0.75,3.5677313738084884,3.417134987970606,0.9996589795206642,-0.05291105331606295,759.8597605886417
50,2800.0,2800.0,4,4,3,0.75,3.6626872903427254,4.203122969168157,0.9987072258287851,-0.029714689904588892,922.2296360577527
100,2800.0,2800.0,4,4,3,0.75,3.6626872903427254,4.203122969168157,0.9987072258287851,-0.029714689904588892,922.2296360577527
150,2800.0,2800.0,4,4,3,0.75,3.6626872903427254,4.203122969168157,0.9987072258287851,-0.029714689904588892,922.2296360577527
200,2800.0,2800.0,4,4,3,0.75,3.6626872903427254,4.203122969168157,0.9987072258287851,-0.029714689904588892,922.2296360577527
250,2800.0,2800.0,4,4,3,0.75,3.6626872903427254,4.203122969168157,0.9987072258287851,-0.029714689904588892,922.2296360577527
300,2800.0,2800.0,4,4,3,0.75,3.6626872903427254,4.203122969168157,0.9987072258287851,-0.029714689904588892,922.2296360577527
350,2800.0,2800.0,4,4,3,0.75,3.6626872903427254,4.203122969168157,0.9987072258287851,-0.029714689904588892,922.2296360577527
50,2900.0,2800.0,4,4,3,0.75,4.9538867243275995,5.6008377843281325,0.997414489675319,-0.02854636258043499,924.5718263939001
100,2900.0,2800.0,4,4,3,0.75,4.9538867243275995,5.6008377843281325,0.997414489675319,-0.02854636258043499,924.5718263939001
150,2900.0,2800.0,4,4,3,0.75,4.9538867243275995,5.6008377843281325,0.997414489675319,-0.02854636258043499,924.5718263939001
200,2900.0,2800.0,4,4,3,0.75,4.9538867243275995,5.6008377843281325,0.997414489675319,-0.02854636258043499,924.5718263939001
250,2900.0,2800.0,4,4,3,0.75,4.9538867243275995,5.6008377843281325,0.997414489675319,-0.02854636258043499,924.5718263939001
300,2900.0,2800.0,4,4,3,0.75,4.9538867243275995,5.6008377843281325,0.997414489675319,-0.02854636258043499,924.5718263939001
350,2900.0,2800.0,4,4,3,0.75,4.9538867243275995,5.6008377843281325,0.997414489675319,-0.02854636258043499,924.5718263939001
50,3200.0,3400.0,4,4,3,0.75,6.236692342109391,5.933443703013867,0.9989684433035732,-0.05284638372760605,760.1613682977036
50,2700.0,3400.0,4,4,3,0.75,7.504367521736003,6.909519063609869,0.9985871829316814,-0.052753456402279665,769.1068478470111
50,3000.0,3200.0,4,4,3,0.75,7.424757321626673,7.65813829498438,0.988627313393242,-0.018785108181621966,950.1964526342226
100,3000.0,3200.0,4,4,3,0.75,7.424757321626673,7.65813829498438,0.988627313393242,-0.018785108181621966,950.1964526342226
150,3000.0,3200.0,4,4,3,0.75,7.424757321626673,7.65813829498438,0.988627313393242,-0.018785108181621966,950.1964526342226
200,3000.0,3200.0,4,4,3,0.75,7.424757321626673,7.65813829498438,0.988627313393242,-0.018785108181621966,950.1964526342226
50,3100.0,3200.0,4,4,3,0.75,7.391242779864835,7.689914991569337,0.9878217109757838,-0.018145506138067282,946.8713945832809
