min_points,window_days,step_days,n_windows_rank1,n_fit_points,n_inliers,inlier_fraction,rmse_inlier,wrmse_inlier,r2_inlier,slope_days_per_day,intercept_days
450,6500.0,400.0,22,22,19,0.8636363636363636,15.99704179744883,16.301166296049843,0.9394772384766883,0.03327890233968595,875.8273339005108
500,6000.0,400.0,21,21,18,0.8571428571428571,12.947947195961722,13.339451218268406,0.9612471075814273,0.033772550556706006,865.6327421165753
350,6500.0,500.0,19,19,16,0.8421052631578947,13.826474325619213,14.088258062047075,0.9564177969026799,0.03457897587143421,880.1904191806084
350,7000.0,500.0,19,19,16,0.8421052631578947,14.908099247067188,14.647991615487268,0.9451660036378557,0.034999489232524016,883.9730737875832
350,6000.0,500.0,19,19,16,0.8421052631578947,15.139514517831069,15.270666569332676,0.9502983982668929,0.03356062802808626,874.4845959390341
350,7000.0,400.0,23,23,19,0.8260869565217391,15.340869155940108,15.345752024765089,0.9414891579962571,0.03439519213086285,882.9247087210753
350,6500.0,400.0,23,23,19,0.8260869565217391,15.997041797448823,16.301166296049836,0.9394772384766883,0.03327890233968595,879.996457271002
400,6000.0,800.0,11,11,9,0.8181818181818182,12.877999408888638,13.2206426340262,0.9653201422575206,0.03323000628058713,865.8938219586682
450,6000.0,800.0,11,11,9,0.8181818181818182,12.877999408888638,13.2206426340262,0.9653201422575206,0.03323000628058713,865.8938219586682
500,6000.0,800.0,11,11,9,0.8181818181818182,12.877999408888638,13.2206426340262,0.9653201422575206,0.03323000628058713,865.8938219586682
400,6000.0,400.0,22,22,18,0.8181818181818182,12.947947195961701,13.339451218268385,0.9612471075814275,0.033772550556706006,870.1625334506414
450,6000.0,400.0,22,22,18,0.8181818181818182,12.947947195961701,13.339451218268385,0.9612471075814275,0.033772550556706006,870.1625334506414
400,6500.0,800.0,11,11,9,0.8181818181818182,15.0880607157648,15.765179128923217,0.9528291677165506,0.03481879041488674,871.2168653053518
450,6500.0,800.0,11,11,9,0.8181818181818182,15.0880607157648,15.765179128923217,0.9528291677165506,0.03481879041488674,871.2168653053518
500,6500.0,800.0,11,11,9,0.8181818181818182,15.0880607157648,15.765179128923217,0.9528291677165506,0.03481879041488674,871.2168653053518
400,7000.0,800.0,11,11,9,0.8181818181818182,16.231103974911196,15.859769536178531,0.9424490898663661,0.03554140288967628,872.5807454629238
450,7000.0,800.0,11,11,9,0.8181818181818182,16.231103974911196,15.859769536178531,0.9424490898663661,0.03554140288967628,872.5807454629238
500,7000.0,800.0,11,11,9,0.8181818181818182,16.231103974911196,15.859769536178531,0.9424490898663661,0.03554140288967628,872.5807454629238
350,6500.0,600.0,16,16,13,0.8125,14.715035639741028,14.96835479663611,0.950523217894952,0.03262248085202401,877.9112819614626
350,6000.0,600.0,16,16,13,0.8125,14.837583705592973,15.074795591044415,0.952691041209841,0.03202907836897051,875.0553800192658
350,6000.0,400.0,23,23,18,0.782608695652174,12.947947195961708,13.339451218268392,0.9612471075814274,0.033772550556706006,874.5921042387603
350,7000.0,600.0,16,16,12,0.75,12.269865828638443,12.251081885234894,0.9644597422283205,0.03312351867224737,883.7952203412567
350,6000.0,800.0,12,12,9,0.75,12.877999408888643,13.220642634026206,0.9653201422575206,0.03323000628058713,874.6770169846696
