first_gap,gap_step,window_total,n_target_peaks,n_matched,frac_matched,total_abs_centre_residual,rms_centre_residual,mean_abs_centre_residual,anchor_mjd
666.0,24.0,250.0,7,4,0.5714285714285714,100.0,31.866910738256383,25.0,50014.067
668.0,21.0,150.0,7,4,0.5714285714285714,101.0,30.137186331839274,25.25,50014.067
668.0,21.0,200.0,7,4,0.5714285714285714,101.0,30.137186331839274,25.25,50014.067
661.0,22.0,150.0,7,4,0.5714285714285714,102.0,28.38133189263675,25.5,50014.067
661.0,22.0,200.0,7,4,0.5714285714285714,102.0,28.38133189263675,25.5,50014.067
661.0,22.0,250.0,7,4,0.5714285714285714,102.0,28.38133189263675,25.5,50014.067
664.0,24.0,150.0,7,4,0.5714285714285714,102.0,38.19031290785662,25.5,50014.067
664.0,24.0,200.0,7,4,0.5714285714285714,102.0,38.19031290785662,25.5,50014.067
662.0,22.0,150.0,7,4,0.5714285714285714,103.0,28.45610655026439,25.75,50014.067
662.0,22.0,200.0,7,4,0.5714285714285714,103.0,28.45610655026439,25.75,50014.067
662.0,22.0,250.0,7,4,0.5714285714285714,103.0,28.45610655026439,25.75,50014.067
666.0,20.0,150.0,7,4,0.5714285714285714,103.0,30.22829800038368,25.75,50014.067
666.0,20.0,200.0,7,4,0.5714285714285714,103.0,30.22829800038368,25.75,50014.067
666.0,20.0,250.0,7,4,0.5714285714285714,103.0,30.22829800038368,25.75,50014.067
663.0,21.0,150.0,7,4,0.5714285714285714,106.0,28.626910416599273,26.5,50014.067
663.0,21.0,200.0,7,4,0.5714285714285714,106.0,28.626910416599273,26.5,50014.067
663.0,21.0,250.0,7,4,0.5714285714285714,106.0,28.626910416599273,26.5,50014.067
667.0,24.0,150.0,7,4,0.5714285714285714,107.0,31.052375110448477,26.75,50014.067
667.0,24.0,200.0,7,4,0.5714285714285714,107.0,31.052375110448477,26.75,50014.067
667.0,24.0,250.0,7,4,0.5714285714285714,107.0,31.052375110448477,26.75,50014.067
660.0,22.0,150.0,7,4,0.5714285714285714,111.0,30.14548058996572,27.75,50014.067
660.0,22.0,200.0,7,4,0.5714285714285714,111.0,30.14548058996572,27.75,50014.067
660.0,22.0,250.0,7,4,0.5714285714285714,111.0,30.14548058996572,27.75,50014.067
669.0,21.0,150.0,7,4,0.5714285714285714,112.0,35.33411948810951,28.0,50014.067
669.0,21.0,200.0,7,4,0.5714285714285714,112.0,35.33411948810951,28.0,50014.067
663.0,22.0,150.0,7,4,0.5714285714285714,114.0,30.35621847332108,28.5,50014.067
663.0,22.0,200.0,7,4,0.5714285714285714,114.0,30.35621847332108,28.5,50014.067
668.0,24.0,150.0,7,4,0.5714285714285714,114.0,32.03903868720159,28.5,50014.067
668.0,24.0,200.0,7,4,0.5714285714285714,114.0,32.03903868720159,28.5,50014.067
668.0,24.0,250.0,7,4,0.5714285714285714,114.0,32.03903868720159,28.5,50014.067
668.0,23.0,150.0,7,4,0.5714285714285714,114.0,36.318039594669756,28.5,50014.067
668.0,23.0,200.0,7,4,0.5714285714285714,114.0,36.318039594669756,28.5,50014.067
657.0,23.0,150.0,7,4,0.5714285714285714,116.0,34.37295448459442,29.0,50014.067
657.0,23.0,200.0,7,4,0.5714285714285714,116.0,34.37295448459442,29.0,50014.067
657.0,23.0,250.0,7,4,0.5714285714285714,116.0,34.37295448459442,29.0,50014.067
669.0,19.0,150.0,7,4,0.5714285714285714,116.0,34.51811118818641,29.0,50014.067
669.0,19.0,200.0,7,4,0.5714285714285714,116.0,34.51811118818641,29.0,50014.067
669.0,19.0,250.0,7,4,0.5714285714285714,116.0,34.51811118818641,29.0,50014.067
662.0,21.0,150.0,7,4,0.5714285714285714,117.0,33.529837458597974,29.25,50014.067
662.0,21.0,200.0,7,4,0.5714285714285714,117.0,33.529837458597974,29.25,50014.067
662.0,21.0,250.0,7,4,0.5714285714285714,117.0,33.529837458597974,29.25,50014.067
659.0,22.0,150.0,7,4,0.5714285714285714,120.0,33.45893004864322,30.0,50014.067
659.0,22.0,200.0,7,4,0.5714285714285714,120.0,33.45893004864322,30.0,50014.067
659.0,22.0,250.0,7,4,0.5714285714285714,120.0,33.45893004864322,30.0,50014.067
669.0,24.0,150.0,7,4,0.5714285714285714,121.0,34.67347689517162,30.25,50014.067
669.0,24.0,200.0,7,4,0.5714285714285714,121.0,34.67347689517162,30.25,50014.067
669.0,24.0,250.0,7,4,0.5714285714285714,121.0,34.67347689517162,30.25,50014.067
670.0,21.0,150.0,7,4,0.5714285714285714,123.0,41.18555572042218,30.75,50014.067
662.0,25.0,150.0,7,4,0.5714285714285714,124.0,39.01281840626232,31.0,50014.067
662.0,25.0,200.0,7,4,0.5714285714285714,124.0,39.01281840626232,31.0,50014.067
662.0,25.0,250.0,7,4,0.5714285714285714,124.0,39.01281840626232,31.0,50014.067
664.0,22.0,150.0,7,4,0.5714285714285714,125.0,33.77499074759311,31.25,50014.067
664.0,22.0,200.0,7,4,0.5714285714285714,125.0,33.77499074759311,31.25,50014.067
656.0,23.0,150.0,7,4,0.5714285714285714,125.0,36.03123644839294,31.25,50014.067
656.0,23.0,200.0,7,4,0.5714285714285714,125.0,36.03123644839294,31.25,50014.067
656.0,23.0,250.0,7,4,0.5714285714285714,125.0,36.03123644839294,31.25,50014.067
658.0,23.0,150.0,7,4,0.5714285714285714,127.0,34.23813663153998,31.75,50014.067
658.0,23.0,200.0,7,4,0.5714285714285714,127.0,34.23813663153998,31.75,50014.067
658.0,23.0,250.0,7,4,0.5714285714285714,127.0,34.23813663153998,31.75,50014.067
661.0,25.0,150.0,7,4,0.5714285714285714,127.0,40.518514286681345,31.75,50014.067
661.0,25.0,200.0,7,4,0.5714285714285714,127.0,40.518514286681345,31.75,50014.067
661.0,25.0,250.0,7,4,0.5714285714285714,127.0,40.518514286681345,31.75,50014.067
670.0,24.0,150.0,7,4,0.5714285714285714,128.0,38.61994303465504,32.0,50014.067
670.0,24.0,200.0,7,4,0.5714285714285714,128.0,38.61994303465504,32.0,50014.067
670.0,24.0,250.0,7,4,0.5714285714285714,128.0,38.61994303465504,32.0,50014.067
663.0,24.0,200.0,7,4,0.5714285714285714,129.0,43.014532428006234,32.25,50014.067
665.0,20.0,150.0,7,4,0.5714285714285714,130.0,36.2284418654736,32.5,50014.067
665.0,20.0,200.0,7,4,0.5714285714285714,130.0,36.2284418654736,32.5,50014.067
665.0,20.0,250.0,7,4,0.5714285714285714,130.0,36.2284418654736,32.5,50014.067
660.0,25.0,200.0,7,4,0.5714285714285714,130.0,43.30127018922193,32.5,50014.067
658.0,22.0,150.0,7,4,0.5714285714285714,131.0,37.91767397929361,32.75,50014.067
658.0,22.0,200.0,7,4,0.5714285714285714,131.0,37.91767397929361,32.75,50014.067
658.0,22.0,250.0,7,4,0.5714285714285714,131.0,37.91767397929361,32.75,50014.067
663.0,25.0,150.0,7,4,0.5714285714285714,131.0,38.93263412614153,32.75,50014.067
663.0,25.0,200.0,7,4,0.5714285714285714,131.0,38.93263412614153,32.75,50014.067
663.0,25.0,250.0,7,4,0.5714285714285714,131.0,38.93263412614153,32.75,50014.067
667.0,23.0,150.0,7,4,0.5714285714285714,131.0,41.901670611086615,32.75,50014.067
655.0,23.0,150.0,7,4,0.5714285714285714,134.0,39.01922603025334,33.5,50014.067
655.0,23.0,200.0,7,4,0.5714285714285714,134.0,39.01922603025334,33.5,50014.067
655.0,23.0,250.0,7,4,0.5714285714285714,134.0,39.01922603025334,33.5,50014.067
665.0,22.0,150.0,7,4,0.5714285714285714,136.0,38.30796261875591,34.0,50014.067
665.0,22.0,200.0,7,4,0.5714285714285714,136.0,38.30796261875591,34.0,50014.067
659.0,25.0,200.0,7,4,0.5714285714285714,137.0,47.13544313995573,34.25,50014.067
659.0,23.0,150.0,7,4,0.5714285714285714,138.0,35.644073841243234,34.5,50014.067
659.0,23.0,200.0,7,4,0.5714285714285714,138.0,35.644073841243234,34.5,50014.067
659.0,23.0,250.0,7,4,0.5714285714285714,138.0,35.644073841243234,34.5,50014.067
664.0,25.0,150.0,7,4,0.5714285714285714,138.0,40.28647415696737,34.5,50014.067
664.0,25.0,200.0,7,4,0.5714285714285714,138.0,40.28647415696737,34.5,50014.067
664.0,25.0,250.0,7,4,0.5714285714285714,138.0,40.28647415696737,34.5,50014.067
652.0,24.0,150.0,7,4,0.5714285714285714,139.0,42.31725416422951,34.75,50014.067
652.0,24.0,200.0,7,4,0.5714285714285714,139.0,42.31725416422951,34.75,50014.067
652.0,24.0,250.0,7,4,0.5714285714285714,139.0,42.31725416422951,34.75,50014.067
653.0,24.0,150.0,7,4,0.5714285714285714,140.0,40.749233121618374,35.0,50014.067
653.0,24.0,200.0,7,4,0.5714285714285714,140.0,40.749233121618374,35.0,50014.067
653.0,24.0,250.0,7,4,0.5714285714285714,140.0,40.749233121618374,35.0,50014.067
668.0,19.0,150.0,7,4,0.5714285714285714,143.0,41.0396150079408,35.75,50014.067
668.0,19.0,200.0,7,4,0.5714285714285714,143.0,41.0396150079408,35.75,50014.067
668.0,19.0,250.0,7,4,0.5714285714285714,143.0,41.0396150079408,35.75,50014.067
661.0,21.0,150.0,7,4,0.5714285714285714,144.0,39.198214245039274,36.0,50014.067
661.0,21.0,200.0,7,4,0.5714285714285714,144.0,39.198214245039274,36.0,50014.067
661.0,21.0,250.0,7,4,0.5714285714285714,144.0,39.198214245039274,36.0,50014.067
665.0,25.0,150.0,7,4,0.5714285714285714,145.0,42.93891009329417,36.25,50014.067
665.0,25.0,200.0,7,4,0.5714285714285714,145.0,42.93891009329417,36.25,50014.067
665.0,25.0,250.0,7,4,0.5714285714285714,145.0,42.93891009329417,36.25,50014.067
654.0,23.0,150.0,7,4,0.5714285714285714,145.0,43.06100323959023,36.25,50014.067
654.0,23.0,200.0,7,4,0.5714285714285714,145.0,43.06100323959023,36.25,50014.067
654.0,23.0,250.0,7,4,0.5714285714285714,145.0,43.06100323959023,36.25,50014.067
666.0,22.0,150.0,7,4,0.5714285714285714,147.0,43.60905869197362,36.75,50014.067
666.0,22.0,200.0,7,4,0.5714285714285714,147.0,43.60905869197362,36.75,50014.067
651.0,24.0,150.0,7,4,0.5714285714285714,148.0,45.03887209955418,37.0,50014.067
