segment_id,segment_label,segment_start,segment_end,segment_center,corr_method,shuffle_method,pc_column,r_zero_lag,n_pairs_zero_lag,p_zero_local,p_zero_global,p_global_curve,n_spin_points,n_pc_points
15,seg15_56995.2_57495.2,56995.243,57495.243,57245.243,pearson,circular,PC2,-0.869565838379994,500,0.07392607392607392,0.5804195804195804,0.5344655344655345,500,138
15,seg15_56995.2_57495.2,56995.243,57495.243,57245.243,spearman,permute,PC2,-0.8738296713186852,500,0.000999000999000999,0.000999000999000999,0.000999000999000999,500,138
15,seg15_56995.2_57495.2,56995.243,57495.243,57245.243,spearman,circular,PC2,-0.8738296713186852,500,0.08891108891108891,0.6363636363636364,0.48451548451548454,500,138
16,seg16_57495.2_57995.2,57495.243,57995.243,57745.243,pearson,permute,PC2,-0.8311505704686053,500,0.000999000999000999,0.000999000999000999,0.000999000999000999,500,148
16,seg16_57495.2_57995.2,57495.243,57995.243,57745.243,pearson,circular,PC2,-0.8311505704686053,500,0.08491508491508491,0.4915084915084915,0.0979020979020979,500,148
16,seg16_57495.2_57995.2,57495.243,57995.243,57745.243,spearman,permute,PC2,-0.8583386653546613,500,0.000999000999000999,0.000999000999000999,0.000999000999000999,500,148
16,seg16_57495.2_57995.2,57495.243,57995.243,57745.243,spearman,circular,PC2,-0.8583386653546613,500,0.12087912087912088,0.7562437562437563,0.1088911088911089,500,148
17,seg17_57995.2_58495.2,57995.243,58495.243,58245.243,pearson,permute,PC2,-0.6772822165684529,500,0.000999000999000999,0.000999000999000999,0.000999000999000999,500,210
17,seg17_57995.2_58495.2,57995.243,58495.243,58245.243,pearson,circular,PC2,-0.6772822165684529,500,0.2977022977022977,0.7042957042957043,0.5684315684315684,500,210
17,seg17_57995.2_58495.2,57995.243,58495.243,58245.243,spearman,permute,PC2,-0.7226816747266989,500,0.000999000999000999,0.000999000999000999,0.000999000999000999,500,210
17,seg17_57995.2_58495.2,57995.243,58495.243,58245.243,spearman,circular,PC2,-0.7226816747266989,500,0.12387612387612387,0.5794205794205795,0.5324675324675324,500,210
18,seg18_58495.2_58995.2,58495.243,58995.243,58745.243,pearson,permute,PC2,0.4313829587402308,500,0.023976023976023976,0.056943056943056944,0.030969030969030968,500,231
18,seg18_58495.2_58995.2,58495.243,58995.243,58745.243,pearson,circular,PC2,0.4313829587402308,500,0.5494505494505495,1.0,0.973026973026973,500,231
18,seg18_58495.2_58995.2,58495.243,58995.243,58745.243,spearman,permute,PC2,0.48638709754839016,500,0.016983016983016984,0.04695304695304695,0.017982017982017984,500,231
18,seg18_58495.2_58995.2,58495.243,58995.243,58745.243,spearman,circular,PC2,0.48638709754839016,500,0.5784215784215784,0.987012987012987,0.968031968031968,500,231
19,seg19_58995.2_59495.2,58995.243,59495.243,59245.243,pearson,permute,PC2,-0.07713772712424102,500,0.6573426573426573,1.0,0.000999000999000999,500,177
19,seg19_58995.2_59495.2,58995.243,59495.243,59245.243,pearson,circular,PC2,-0.07713772712424102,500,0.9200799200799201,1.0,0.5374625374625375,500,177
19,seg19_58995.2_59495.2,58995.243,59495.243,59245.243,spearman,permute,PC2,-0.4140540722162888,500,0.004995004995004995,0.13686313686313686,0.000999000999000999,500,177
19,seg19_58995.2_59495.2,58995.243,59495.243,59245.243,spearman,circular,PC2,-0.4140540722162888,500,0.5484515484515484,1.0,0.6333666333666333,500,177
20,seg20_59495.2_59995.2,59495.243,59995.243,59745.243,pearson,permute,PC2,-0.390647367467878,500,0.01098901098901099,0.1878121878121878,0.000999000999000999,500,180
20,seg20_59495.2_59995.2,59495.243,59995.243,59745.243,pearson,circular,PC2,-0.390647367467878,500,0.41058941058941056,1.0,0.026973026973026972,500,180
20,seg20_59495.2_59995.2,59495.243,59995.243,59745.243,spearman,permute,PC2,-0.37969121476485906,500,0.008991008991008992,0.21678321678321677,0.000999000999000999,500,180
20,seg20_59495.2_59995.2,59495.243,59995.243,59745.243,spearman,circular,PC2,-0.37969121476485906,500,0.4645354645354645,1.0,0.030969030969030968,500,180
21,seg21_59995.2_60495.2,59995.243,60495.243,60245.243,pearson,permute,PC2,-0.48816174056609096,500,0.001998001998001998,0.015984015984015984,0.001998001998001998,500,157
21,seg21_59995.2_60495.2,59995.243,60495.243,60245.243,pearson,circular,PC2,-0.48816174056609096,500,0.3646353646353646,0.955044955044955,0.7892107892107892,500,157
21,seg21_59995.2_60495.2,59995.243,60495.243,60245.243,spearman,permute,PC2,-0.5838337273349093,500,0.000999000999000999,0.001998001998001998,0.000999000999000999,500,157
21,seg21_59995.2_60495.2,59995.243,60495.243,60245.243,spearman,circular,PC2,-0.5838337273349093,500,0.23676323676323677,0.9210789210789211,0.5124875124875125,500,157
