lag_days,r,err,p_local,n_pairs,corr_method,shuffle_method,pc_column,p_global,p_zero_local,p_zero_global,segment_id,segment_label,segment_start,segment_end,segment_center,n_spin_points,n_pc_points
160.0,-0.33547534557283704,0.24673963460639745,0.18081918081918083,840,pearson,circular,PC1,0.4205794205794206,0.29270729270729273,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
180.0,-0.23768194824502975,0.24559177772372115,0.4115884115884116,820,pearson,circular,PC1,0.4205794205794206,0.29270729270729273,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
200.0,-0.13192649545028673,0.24929690332471544,0.7192807192807192,800,pearson,circular,PC1,0.4205794205794206,0.29270729270729273,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-200.0,-0.1637255237255237,0.03190093387505683,0.000999000999000999,1000,spearman,permute,PC1,0.000999000999000999,0.000999000999000999,0.007992007992007992,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-180.0,-0.08347058347058348,0.03176118793728385,0.008991008991008992,1000,spearman,permute,PC1,0.000999000999000999,0.000999000999000999,0.007992007992007992,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-160.0,0.036710280710280714,0.031538221062766915,0.24675324675324675,1000,spearman,permute,PC1,0.000999000999000999,0.000999000999000999,0.007992007992007992,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-140.0,0.146978510978511,0.031165175981775043,0.000999000999000999,1000,spearman,permute,PC1,0.000999000999000999,0.000999000999000999,0.007992007992007992,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-120.0,0.2348128268128268,0.030512473187247334,0.000999000999000999,1000,spearman,permute,PC1,0.000999000999000999,0.000999000999000999,0.007992007992007992,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-100.0,0.2771160011160011,0.03077349569966068,0.000999000999000999,1000,spearman,permute,PC1,0.000999000999000999,0.000999000999000999,0.007992007992007992,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-80.0,0.2572836892836893,0.030582024847734923,0.000999000999000999,1000,spearman,permute,PC1,0.000999000999000999,0.000999000999000999,0.007992007992007992,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-60.0,0.25510089910089917,0.03107802667360293,0.000999000999000999,1000,spearman,permute,PC1,0.000999000999000999,0.000999000999000999,0.007992007992007992,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-40.0,0.27029507429507427,0.0318852042518084,0.000999000999000999,1000,spearman,permute,PC1,0.000999000999000999,0.000999000999000999,0.007992007992007992,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-20.0,0.19024689424689425,0.03198781110936746,0.000999000999000999,1000,spearman,permute,PC1,0.000999000999000999,0.000999000999000999,0.007992007992007992,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
0.0,0.11011368211368211,0.03144943809122564,0.000999000999000999,1000,spearman,permute,PC1,0.000999000999000999,0.000999000999000999,0.007992007992007992,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
20.0,-0.017110719989657356,0.03174025363580636,0.5784215784215784,980,spearman,permute,PC1,0.000999000999000999,0.000999000999000999,0.007992007992007992,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
40.0,-0.22979670388097206,0.031089110969443823,0.000999000999000999,960,spearman,permute,PC1,0.000999000999000999,0.000999000999000999,0.007992007992007992,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
60.0,-0.44761148391348127,0.03155415312647216,0.000999000999000999,940,spearman,permute,PC1,0.000999000999000999,0.000999000999000999,0.007992007992007992,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
80.0,-0.5345912096037345,0.03248418538306028,0.000999000999000999,920,spearman,permute,PC1,0.000999000999000999,0.000999000999000999,0.007992007992007992,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
100.0,-0.5129846991580649,0.032851423911463715,0.000999000999000999,900,spearman,permute,PC1,0.000999000999000999,0.000999000999000999,0.007992007992007992,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
120.0,-0.47002975562632787,0.03319705071898714,0.000999000999000999,880,spearman,permute,PC1,0.000999000999000999,0.000999000999000999,0.007992007992007992,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
140.0,-0.407915691083009,0.03419701848293296,0.000999000999000999,860,spearman,permute,PC1,0.000999000999000999,0.000999000999000999,0.007992007992007992,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
160.0,-0.32660369821547774,0.03528150428128863,0.000999000999000999,840,spearman,permute,PC1,0.000999000999000999,0.000999000999000999,0.007992007992007992,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
180.0,-0.24650633721071316,0.03665657757323541,0.000999000999000999,820,spearman,permute,PC1,0.000999000999000999,0.000999000999000999,0.007992007992007992,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
200.0,-0.1669032920363938,0.036588766771261515,0.000999000999000999,800,spearman,permute,PC1,0.000999000999000999,0.000999000999000999,0.007992007992007992,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
