MJD,PC1,PC2,PC3,dataset
51093.28,-0.4798489760324649,0.47171904624900773,0.8126537985517037,AFB
51094.307,-0.690220114733719,0.4361359768698239,1.2285225814979537,AFB
51097.307,-0.8760751559961663,0.5375154858905659,1.3579267118291738,AFB
51108.118,-0.6463420045774917,0.6289152674291615,2.5382288305238925,AFB
51113.989,-1.0689951050524122,1.0508244790638837,1.5094932718079115,AFB
51117.018,-1.231800738873382,1.2117981616552145,1.043215090734318,AFB
51120.111,-1.4694208913445446,0.5659721820825686,0.9330672786833423,AFB
51121.254,-1.5985292276319765,0.891699979749808,1.3062011587592606,AFB
51122.311,-1.614015978735716,1.1052140257525847,1.4187881774179507,AFB
51127.196,-1.952701881831144,0.7482163543935159,1.760370041323726,AFB
51133.195,-1.635968200119408,0.44359465395147596,1.839732093525164,AFB
51136.132,-1.5173893863098218,0.8464720746951355,0.4767473078253574,AFB
51140.339,-1.3932170233303676,1.0515139888464182,0.43880679363023856,AFB
51149.007,-1.2548740392792523,0.24597357123493901,1.0613655059642573,AFB
51153.163,-1.1183227125278443,-0.5129039215493795,2.605714624231612,AFB
51183.978,-0.8280800728962264,0.09792481309617586,0.8553170894126426,AFB
51187.973,-1.2588944621609783,0.2909667049159229,1.926793961214931,AFB
51189.022,-1.201545524007456,0.26543514677373087,2.2938936358322595,AFB
51212.666,0.19136490791376257,0.6811731609517101,3.1524664358448167,AFB
51228.83,0.08117432100598407,0.5458222570877163,2.3621851188376644,AFB
51230.96,-0.2751568644003356,0.9177532539496195,1.9426462457306324,AFB
51237.805,-0.5593382921903726,0.2612884868684289,0.6464322239821525,AFB
51239.904,-0.6288588380237521,-0.2918800332283678,1.0479783774218991,AFB
51243.805,-0.8668833650603393,0.367969506216483,0.7693489289602566,AFB
51249.657,-1.0579685475758358,0.8783550171473569,0.5877253857553083,AFB
51252.86,-1.0213052800906077,0.5885175471977165,1.1363928489075579,AFB
51255.686,-1.0506563334428933,0.6676575854225248,0.6621379866114404,AFB
51258.698,-0.5531720032299852,0.6739504521530344,1.3550869638021616,AFB
51260.767,-0.5019518800231877,0.8337843836366727,1.5640753939103602,AFB
51271.695,-0.7733334899733946,1.335225672374418,0.9528947376628139,AFB
51281.731,-0.10409430174052832,0.32119404892778014,2.4454584830689554,AFB
51286.786,-0.13937078473603237,1.2036178378998523,0.9425393937809882,AFB
51304.562,-0.3381601979636713,0.0007289131644382184,1.908069438381922,AFB
51306.765,-0.41227871790828446,-0.16032876929519127,2.7303355388641855,AFB
51364.648,-0.031283045762679554,0.8044124352037145,0.7558463671498558,AFB
51365.724,-0.041592952122443815,0.8109903180018225,0.6975375649808087,AFB
51366.55,-0.051378285403094866,0.791755761326261,0.8028642396491819,AFB
51367.554,-0.029702158855563876,0.8122925411134795,1.02847454937149,AFB
51367.642,-0.026657071174320188,0.814913838819265,1.0480819498443448,AFB
51368.548,-0.05560519389137846,0.7853067640164755,1.0614570181955967,AFB
51369.602,-0.04480142350773305,0.7698005356952236,1.1594459654534244,AFB
51370.608,-0.013863946550715859,0.742137075848023,1.2571863133946943,AFB
51371.527,0.0332891204116654,0.6952449143797114,1.3535500419447235,AFB
51372.669,0.09187067813623867,0.687095480973449,1.4178691094693725,AFB
51372.73,0.09522994442373943,0.6796358677890788,1.4278392408154421,AFB
51373.619,0.09254274863072791,0.6370617837530789,1.510771545248617,AFB
51374.604,0.05198142645962841,0.5586240286523297,1.6196835604976274,AFB
51375.708,0.028091892543380854,0.47013856828601225,1.69338761530054,AFB
51376.337,-0.014544821123731896,0.4312166797944868,1.705294120596124,AFB
51377.333,-0.06451773960093853,0.3816804335473019,1.5604297495408037,AFB
51378.483,-0.1324855256349188,0.285447336436587,1.4251218430701393,AFB
51379.48,-0.18087294513407334,0.22524841318187938,1.255195725302993,AFB
51381.651,-0.26291451568378726,0.03670292111717993,0.9362341270562887,AFB
51382.556,-0.2759946921683482,-0.08087809913783313,0.9018573742169805,AFB
51385.578,-0.38138275831066076,-0.40324378238832626,0.7029165652277696,AFB
51386.421,-0.4768557705304288,-0.4421656579802395,0.6215915628560689,AFB
51387.43,-0.587502947523658,-0.4907055326369379,0.3958499914695473,AFB
51388.447,-0.6642711769422728,-0.5258001240828426,0.36682807368187165,AFB
51389.425,-0.7991897442039144,-0.5565377326481347,0.40414234591412485,AFB
51390.359,-0.9699817862206097,-0.537767197523538,0.25254255470508785,AFB
51391.316,-1.1164437811982166,-0.5407837216924005,0.08814809350412074,AFB
51391.6,-1.1354303788587612,-0.5257951070870419,0.036587295487821594,AFB
51392.337,-1.1939591860936003,-0.47139335452232717,0.0030401122028352145,AFB
51393.314,-1.2407181708467143,-0.3402497584805546,-0.07829391185820232,AFB
51394.441,-1.2793151668596747,-0.2539222907911359,-0.08974230538126195,AFB
51395.482,-1.3101692682185015,-0.1444404584628942,-0.11898515135831278,AFB
51396.462,-1.3693635361687917,-0.049132597943787236,-0.11453901420261722,AFB
51397.564,-1.3572016629430448,0.0024794746363436134,-0.17922576269847265,AFB
51398.436,-1.3462892455599633,0.028042170229945797,-0.31632709643535656,AFB
51399.415,-1.38438770615578,0.010204750551238716,-0.4867411885526911,AFB
51400.448,-1.4169167557171534,-0.039537967746048154,-0.6937886454603597,AFB
51401.463,-1.3721962019877938,-0.08940287705527673,-0.8836650354079693,AFB
51401.516,-1.3687313425067027,-0.09164882374375834,-0.8914748749401751,AFB
51402.359,-1.288835923296636,-0.20564598264976094,-0.8749399057104021,AFB
51403.372,-1.1919244427255984,-0.2904814049169532,-0.8877003387078253,AFB
51404.5,-1.067674614923038,-0.4788080828767815,-0.9090224304442198,AFB
51405.459,-0.9994322541252454,-0.5348634240533244,-0.9957227802239192,AFB
51411.226,-0.7245839350849643,-0.5372114810587222,-1.344893999525981,AFB
51432.442,-0.8069785952273999,-0.3058997993266666,-0.5301349039193991,AFB
51433.369,-0.8196838847316492,-0.28236229522658207,-0.501961679747973,AFB
51435.258,-0.7796467843612854,-0.17164273804400978,-0.45656333407489247,AFB
51439.276,-0.6362557024285738,-0.027510277518541258,-0.2885961240059767,AFB
51452.155,-1.1675862209796954,-0.14590639867446037,0.5104026925647931,AFB
51463.336,-0.8324942649496075,-0.8517304916790616,0.11214350713576794,AFB
51467.154,-0.8732019937765838,-1.136818895495581,0.24924816964061378,AFB
51469.351,-0.7526858229142134,-1.4597303897314797,0.9709039990917953,AFB
51475.279,-0.6714834337721448,-1.4311431188230639,-0.42134399584173654,AFB
51502.188,0.16488603498709256,-0.140488514770143,-1.1716419916713465,AFB
51505.153,0.06700244541652321,-0.8203503268814895,-0.2094516507483369,AFB
51505.267,0.07486882195826504,-0.8461838662636777,-0.16364166140378913,AFB
51515.093,0.11540766585829591,-0.6985333365781409,0.24996539589986383,AFB
51540.922,0.3416561880411781,0.4713106066340169,-0.20408112544104398,AFB
51544.882,0.08490369259768739,0.6758031868534415,-0.7447180845992535,AFB
51562.927,-0.3988386641548093,0.09603793723195776,-0.7931960549155128,AFB
51579.853,0.9638877282144286,-0.10972087284770783,-0.46189319321399963,AFB
