MJD,nudot,nudot_err,delta_glitch
50156.06827,-1264.6588422766513,0.002636479514252374,0.0
50157.06827,-1264.6580729073505,0.0026071974324425673,0.0
50158.06827,-1264.6570484285355,0.0025808252186096847,0.0
50159.06827,-1264.6557726279946,0.00255747059502749,0.0
50160.06827,-1264.654249352499,0.0025372169353322796,0.0
50161.06827,-1264.6524825052272,0.002520121667901019,0.0
50162.06827,-1264.650476039767,0.002506215124840171,0.0
50163.06827,-1264.648233956028,0.0024954999049129397,0.0
50164.06827,-1264.6457603016313,0.002487950837910708,0.0
50165.06827,-1264.6430591592107,0.002483515524449797,0.0
50166.06827,-1264.6401346511375,0.002482115406428814,0.0
50167.06827,-1264.6369909341433,0.0024836474587863816,0.0
50168.06827,-1264.6336321931742,0.0024879862818321828,0.0
50169.06827,-1264.6300626389173,0.0024949865777848567,0.0
50170.06827,-1264.6262865058845,0.002504485931877218,0.0
50171.06827,-1264.6223080496316,0.0025163077131953055,0.0
50172.06827,-1264.6181315394379,0.0025302640600221435,0.0
50173.06827,-1264.613761259742,0.0025461587892266534,0.0
50174.06827,-1264.6092015049067,0.002563790213549101,0.0
50175.06827,-1264.604456577425,0.0025829537960195947,0.0
50176.06827,-1264.5995307819046,0.0026034444544917393,0.0
50177.06827,-1264.5944284280636,0.002625058769066332,0.0
50178.06827,-1264.589153820331,0.0026475967429063106,0.0
50179.06827,-1264.5837112617085,0.0026708633798152256,0.0
50180.06827,-1264.5781050456978,0.00269466999400743,0.0
50181.06827,-1264.5723394604158,0.0027188351857506047,0.0
50182.06827,-1264.566418778928,0.002743185687791569,0.0
50183.06827,-1264.5603472611838,0.0027675569279661575,0.0
50184.06827,-1264.6670900398879,0.002791793465640633,-0.1129608886446901
50185.06827,-1264.6607295606884,0.002815749250279939,-0.1129608886446901
50186.06827,-1264.6542309163576,0.0028392877252962994,-0.1129608886446901
50187.06827,-1264.6475982869736,0.002862281899190722,-0.1129608886446901
50188.06827,-1264.6408358290892,0.0028846142571034047,-0.1129608886446901
